P. Atmosphere Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,Habitable
hydrogen-rich,19.53,2.33,1.54,3.6,2.9,247,283.2,295.5,310.6,30.2,177.67,0.495,0.11,0.49,K,0.74,0.7,4723,0.217,-0.01,3.2,-0.54,-0.12,1.83,0.34,0.98,1
metals-rich,5.68,1.71,1.13,1.93,1.82,299.3,322.6,341.2,365.1,6.4,242.46,0.64,0.14,0.63,G4V,0.81,0.93,5638,0.784072,-0.29,,-1.07,-0.15,0.3,0.47,0,0
hydrogen-rich,8.57,1.91,1.23,2.35,2.12,222.7,251.2,266.8,287.4,10.6,48.14,0.1939,0.16,0.19,M2.5,0.42,0.41,3466,0.022085,0.02,,-0.27,-0.14,1,0.49,0.01,1
hydrogen-rich,26.81,2.5,1.72,4.3,3.28,271.5,321.9,321.9,321.9,46.1,77.47,0.305,0,0.3,K,0.65,0.58,4465,0.119959,-0.121,,-0.86,-0.11,2.11,0.3,0,1
metals-rich,2.3,1.33,0.97,1.29,1.31,319.5,356.9,356.9,356.9,2.2,22.41,0.129,0,0.13,K,0.48,0.47,3788,0.041154,-0.28,,-1.28,-0.16,-0.31,0.43,0,0
metals-rich,4.8,1.64,1.09,1.79,1.71,205.1,228.1,246.2,272.5,5.2,48.62,0.168,0.21,0.16,dM1,0.28,0.29,3550,0.011984,-0.86,8,0.08,-0.15,0.57,0.63,0,1
metals-rich,2.81,1.41,1,1.41,1.41,201.1,239.5,239.5,239.5,2.8,267.29,0.718,0,0.72,K2V,0.69,0.63,4869,0.200138,-0.21,7,0.45,-0.16,0.19,0.66,0,1
metals-rich,18.44,4.53,0.2,0.9,2.02,240.7,,,,3.7,38.14,0.1635,0.04,0.16,M3.5V,0.41,0.42,3413,0.021302,,,-0.54,3.19,0.79,0.23,,0
metals-rich,9.29,1.95,1.26,2.45,2.18,303.7,348.2,348.2,348.2,11.7,36.45,0.182,0,0.18,K,0.54,0.52,4075,0.066897,,,-1.17,-0.14,0.69,0.42,0,0
metals-rich,2.97,2.51,0.19,0.47,1.09,278.5,,,,0.6,105.36,0.401,0,0.4,K,0.78,0.72,4713,0.22948,0.415,,-0.92,2.4,-0.47,0.28,,0
metals-rich,1.75,1.23,0.94,1.15,1.19,304.9,285.6,341,505.7,1.6,757.16,1.98,0.56,1.64,A,1.79,1.3,8719,8.762809,-0.03,,-1.19,-0.16,-0.48,0.44,0,0
metals-rich,24.01,4.94,0.2,0.98,2.2,259.2,,,,4.8,30.6,0.1434,0.09,0.14,M2.5,0.42,0.41,3466,0.022085,0.02,,-0.78,3.39,0.91,0.22,,0
metals-rich,5.4,1.69,1.12,1.89,1.79,312.6,344,354.3,365.9,6,12.92,0.073,0.07,0.07,M2.5V,0.31,0.3,3498,0.01209,-0.135,8,-1.24,-0.15,0.22,0.44,0,0
metals-rich,21.41,4.76,0.2,0.95,2.12,239,,,,4.3,601.2,1.422,0.19,1.4,G1V,1.06,1.21,5911,1.581221,0.08,4.3,-0.25,3.3,0.91,0.23,,0
hydrogen-rich,16.46,2.24,1.46,3.28,2.71,296.4,339.7,344,348.6,24.1,178.14,0.563,0.03,0.56,G,0.88,0.86,5431,0.581,0.02,7.2,-1.05,-0.12,1.31,0.37,0,0
metals-rich,18.44,4.53,0.2,0.9,2.02,282.9,,,,3.7,197,0.63,0.07,0.63,K0V,0.86,0.9,5385,0.604336,-0.05,7,-0.92,3.19,0.59,0.23,,0
metals-rich,3.69,1.52,1.04,1.59,1.56,325.4,365.2,365.2,365.2,3.8,21,0.126,0,0.13,K,0.51,0.5,3705,0.042265,,,-1.32,-0.15,-0.06,0.43,0,0
hydrogen-rich,15.76,2.22,1.45,3.21,2.67,301.5,348.9,348.9,348.9,22.8,46.18,0.213,0,0.21,K,0.59,0.55,4255,0.088964,0.087,,-1.15,-0.12,1.24,0.37,0,0
metals-rich,2.23,1.32,0.97,1.28,1.3,334.3,371.6,371.6,371.6,2.2,34.99,0.177,0,0.18,K,0.53,0.56,4262,0.092837,-0.163,,-1.37,-0.16,-0.36,0.41,0,0
hydrogen-rich,13.57,2.14,1.38,2.96,2.52,306.2,349.7,352.7,355.8,18.8,66.65,0.288,0.02,0.29,K,0.71,0.67,4551,0.173,0,2.9,-1.18,-0.13,1.05,0.39,0,0
hydrogen-rich,30.55,5.36,0.2,1.06,2.39,237.2,,,,6.1,407.15,1.0376,0.27,1,G4V,0.9,0.86,5940,0.823545,,,-0.24,3.6,1.23,0.21,,0
hydrogen-rich,38.47,5.78,0.2,1.15,2.58,239.9,,,,7.7,459.26,1.1567,0.46,1.03,G6IV,0.98,1,5940,1.112991,,,-0.42,3.82,1.37,0.2,,0
metals-rich,1.59,1.2,0.93,1.11,1.15,343,378.6,378.6,378.6,1.5,53.58,0.253,0,0.25,K,0.75,0.69,4710,0.210219,0.247,,-1.42,-0.17,-0.53,0.4,0,0
metals-rich,3.91,2.73,0.19,0.52,1.2,291.6,,,,0.8,64,0.339,0.19,0.33,K,0.73,0.69,4651,0.199,0.01,3,-1.07,2.45,-0.38,0.27,,0
hydrogen-rich,14.78,2.18,1.42,3.1,2.6,205.9,252.9,252.9,252.9,21,247.35,0.677,0,0.68,K,0.68,0.62,4880,0.195593,-0.556,,0.32,-0.13,1.77,0.36,0,1
metals-rich,1.47,1.17,0.92,1.07,1.12,187.7,219.3,223,226.9,1.3,129.94,0.432,0.04,0.43,M1,0.54,0.56,3755,0.055,-0.26,4,0.61,-0.17,-0.15,0.61,0,1
hydrogen-rich,42.86,5.99,0.2,1.19,2.67,250.6,,,,8.5,457.57,1.1672,0.24,1.13,G2V,1.01,1.12,5820,1.295888,-0.01,1,-0.48,3.93,1.51,0.19,,0
metals-rich,2.7,1.4,0.99,1.39,1.39,188.9,225.2,227.1,229,2.7,62.24,0.213,0.02,0.21,M1.5V,0.33,0.35,3350,0.0137,-0.55,2,0.51,-0.16,0.23,0.63,0,1
metals-rich,6.14,1.75,1.15,2.01,1.87,194,225.8,236.3,249.3,7,63.34,0.283,0.12,0.28,M,0.45,0.43,3572,0.027,-0.12,4.2,0.39,-0.14,0.86,0.51,0,1
hydrogen-rich,45.78,6.12,0.2,1.22,2.73,251.7,,,,9.1,260.7,0.781,0,0.78,K0IV-V,0.91,0.94,5196,0.581554,0.31,10.2,-0.54,4,1.6,0.19,,0
metals-rich,16.5,4.36,0.2,0.87,1.95,299.2,,,,3.3,274.49,0.8181,0.38,0.76,G0V,0.97,1.09,5940,1.321827,,,-1.12,3.11,0.39,0.23,,0
hydrogen-rich,16.46,2.24,1.46,3.28,2.71,318.2,365.8,365.8,365.8,24.1,52.66,0.242,0,0.24,K,0.58,0.62,4508,0.142432,-0.363,,-1.27,-0.12,1.21,0.36,0,0
metals-rich,10.17,1.99,1.28,2.56,2.26,325,370,370,370,13.1,23.97,0.132,0,0.13,K,0.56,0.51,3750,0.046148,0.119,,-1.31,-0.13,0.69,0.4,0,0
metals-rich,4.77,1.64,1.09,1.78,1.71,336.5,377.5,377.5,377.5,5.2,32.13,0.159,0,0.16,K,0.51,0.49,4347,0.07692,-0.85,,-1.39,-0.15,0.07,0.42,0,0
hydrogen-rich,8.7,1.92,1.24,2.37,2.13,198,233,242.1,253,10.8,57.32,0.176,0.1,0.18,M3.5V,0.27,0.39,3028,0.01132,,,0.22,-0.14,1.19,0.45,0,1
metals-rich,2.3,1.33,0.97,1.29,1.31,351.7,389.1,389.1,389.1,2.2,45.9,0.226,0,0.23,K,0.73,0.67,4632,0.185402,,,-1.47,-0.16,-0.38,0.4,0,0
metals-rich,3.5,1.5,1.03,1.55,1.53,343,369.7,382.5,397.2,3.6,94.11,0.374,0.08,0.37,G8.5V,0.78,0.79,5344,0.460153,-0.55,5.8,-1.41,-0.15,-0.14,0.41,0,0
metals-rich,5.75,1.72,1.13,1.95,1.83,344,386,386,386,6.5,24.65,0.1399,0,0.14,M0.2,0.6,0.56,3896,0.065057,-0.32,1,-1.42,-0.15,0.18,0.41,0,0
hydrogen-rich,16.46,2.24,1.46,3.28,2.71,325.8,373.5,373.5,373.5,24.1,42.15,0.2021,0,0.2,K,0.62,0.58,4362,0.109267,,,-1.32,-0.12,1.17,0.36,0,0
metals-rich,1.01,1.61,0.24,0.39,0.79,346.2,370.1,374.2,378.4,0.2,23.01,0.1312,0.02,0.13,M1V,0.57,0.54,3871,0.058745,,,-1.43,1.65,-0.91,0.3,0,0
hydrogen-rich,21.7,2.39,1.6,3.81,3.02,319,368.2,368.2,368.2,34.7,88.26,0.356,0,0.36,K,0.77,0.72,5088,0.311705,-0.138,,-1.26,-0.12,1.53,0.33,0,0
metals-rich,7.38,1.84,1.19,2.19,2,337.6,380.9,380.9,380.9,8.8,18.79,0.111,0,0.11,M,0.52,0.48,3682,0.037993,-0.185,,-1.38,-0.14,0.38,0.41,0,0
hydrogen-rich,59.52,6.66,0.2,1.34,2.99,273.1,,,,12,226.93,0.6813,0.17,0.67,K0V,0.82,0.89,5434,0.617213,-0.17,,-0.82,4.29,1.75,0.18,,0
hydrogen-rich,22.64,2.41,1.62,3.9,3.07,324.9,374.4,374.4,374.4,36.7,46.83,0.22,0,0.22,K,0.65,0.59,4500,0.128069,-0.21,,-1.31,-0.12,1.56,0.33,0,0
metals-rich,4.09,1.57,1.06,1.66,1.62,350,390.3,390.3,390.3,4.3,15.37,0.097,0,0.1,M,0.52,0.48,3568,0.033502,0.221,,-1.44,-0.15,-0.06,0.41,0,0
metals-rich,2.81,1.41,1,1.41,1.41,354.1,392.5,392.5,392.5,2.8,14.87,0.094,0,0.09,M,0.54,0.47,3591,0.032957,0.207,,-1.46,-0.16,-0.28,0.4,0,0
metals-rich,11.45,3.86,0.2,0.77,1.72,330.4,,,,2.3,35.37,0.187,0.24,0.18,M0V,0.6,0.71,3860,0.100405,0.23,,-1.37,2.88,0.08,0.24,,0
hydrogen-rich,66.77,6.9,0.2,1.4,3.11,236.4,,,,13.6,225.7,0.6873,0.3,0.66,K3V,0.85,0.86,4820,0.358158,0.38,8.5,-0.41,4.42,2.12,0.17,,0
metals-rich,3.24,2.58,0.19,0.49,1.12,320.6,,,,0.6,87.09,0.359,0,0.36,K,0.86,0.76,4997,0.323113,0.238,,-1.27,2.42,-0.52,0.26,,0
metals-rich,8.88,1.93,1.24,2.39,2.15,344.4,388.6,388.6,388.6,11,19.27,0.114,0,0.11,K,0.58,0.49,3767,0.043378,-0.011,,-1.42,-0.14,0.51,0.4,0,0
metals-rich,1.23,1.11,0.9,1,1.05,372.1,406.5,406.5,406.5,1.1,24.09,0.135,0,0.14,K,0.54,0.53,4259,0.082922,-0.472,,-1.56,-0.17,-0.68,0.37,0,0
metals-rich,5.21,1.68,1.11,1.86,1.76,356.3,394.3,397.8,401.4,5.8,51.76,0.247,0.02,0.25,K2.5V,0.77,0.65,4977,0.233304,-0.31,1.2,-1.49,-0.15,0.08,0.4,0,0
hydrogen-rich,63.59,6.8,0.2,1.38,3.06,292.3,,,,12.9,318,0.93,0,0.93,G2V,1.05,1.19,5861,1.499238,0.04,3.88,-0.97,4.36,1.73,0.17,,0
hydrogen-rich,70.9,7.03,0.2,1.43,3.18,219.9,,,,14.5,330,0.89,0.36,0.83,K0/K1V,0.86,0.82,5240,0.454823,0.18,6.45,-0.07,4.49,2.32,0.17,,0
metals-rich,19.26,4.59,0.2,0.91,2.05,245.3,,,,3.8,303.15,0.989,0,0.99,G,1.04,0.96,5636,0.841255,,,-0.38,3.22,0.8,0.23,,0
metals-rich,3.4,1.49,1.03,1.53,1.51,366.2,405.6,405.6,405.6,3.5,44,0.214,0,0.21,K,0.68,0.62,4880,0.195593,-0.556,,-1.54,-0.15,-0.2,0.39,0,0
metals-rich,10.98,3.81,0.2,0.76,1.7,220,,,,2.2,466.2,1.12,0.11,1.11,G,0.86,0.89,5602,0.69991,-0.03,,0.11,2.86,0.48,0.26,,0
hydrogen-rich,54.05,6.46,0.2,1.3,2.89,214.4,,,,10.8,125.94,0.435,0,0.43,K7V/M0V,0.7,0.55,4324,0.094876,-0.14,4.4,0.01,4.18,2.09,0.18,,0
metals-rich,6.6,1.78,1.16,2.07,1.92,350.1,350.5,392.9,466.8,7.7,14.21,0.089,0.31,0.08,M2.5,0.47,0.46,3526,0.028964,-0.09,,-1.47,-0.14,0.23,0.4,0,0
hydrogen-rich,104.92,7.9,0.21,1.68,3.64,238.6,,,,22.3,492.3,1.2,0.1,1.19,G3V,0.92,1.01,5902,1.110528,0.13,5.5,-0.22,4.98,2.82,0.15,,0
hydrogen-rich,47.91,6.21,0.2,1.24,2.78,182.8,,,,9.6,1160.9,2.2263,0.75,1.47,G0V,1.09,1.18,5940,1.554643,,,0.42,4.05,1.78,0.18,,0
metals-rich,14.16,4.14,0.2,0.82,1.85,293,,,,2.8,265.47,0.791,0,0.79,G,0.78,1.04,5796,1.095141,-0.403,,-0.99,3.01,0.36,0.24,,0
hydrogen-rich,6.67,1.79,1.17,2.09,1.93,180.6,220.7,223.4,226.1,7.8,642,1.35,0.03,1.35,G8.5V,0.78,0.79,5344,0.460153,-0.55,5.8,1.29,-0.14,1.05,0.38,0,0
hydrogen-rich,7.43,1.84,1.19,2.2,2.01,179.2,220.8,222.6,224.4,8.9,147.66,0.419,0.02,0.42,K,0.53,0.48,3813,0.043,-0.07,3.6,0.91,-0.14,1.17,0.4,0,1
metals-rich,5.35,1.69,1.11,1.88,1.78,365.1,406.7,406.7,406.7,6,11.44,0.0717,0,0.07,M2V,0.38,0.39,3567,0.021675,-0.32,,-1.51,-0.15,0.07,0.4,0,0
metals-rich,3.99,1.56,1.06,1.65,1.6,374.5,414.7,414.7,414.7,4.2,18.6,0.116,0,0.12,K,0.55,0.53,3974,0.062857,,,-1.56,-0.15,-0.13,0.39,0,0
metals-rich,4.82,1.64,1.09,1.79,1.71,173.8,207,214.9,224.5,5.3,207.25,0.64,0.1,0.64,K,0.57,0.53,4340,0.089,-0.57,1.9,1.23,-0.15,0.78,0.41,0,0
hydrogen-rich,54.05,6.46,0.2,1.3,2.89,312.3,,,,10.8,152.6,0.54,0.02,0.54,G5 V,0.92,0.85,5666,0.658549,-0.12,,-1.18,4.18,1.44,0.18,,0
hydrogen-rich,117.64,8.16,0.22,1.77,3.8,225,,,,25.4,956,1.78,0.26,1.72,G1V,0.92,1.4,5781,1.960542,-0.53,,-0.02,5.13,3.11,0.14,,0
metals-rich,21.61,4.77,0.2,0.95,2.13,329.2,,,,4.3,74.39,0.319,0.3,0.3,K1V,0.78,0.68,5144,0.290477,0.08,,-1.37,3.31,0.5,0.22,,0
hydrogen-rich,94.75,7.67,0.21,1.61,3.51,218.6,,,,19.9,41.4,0.1635,0.31,0.16,M4V,0.34,0.4,3190,0.014865,0.32,,-0.28,4.85,2.79,0.15,,0
metals-rich,12.3,3.95,0.2,0.79,1.76,306,,,,2.4,160.02,0.571,0,0.57,G,0.97,0.95,5381,0.678874,0.147,,-1.14,2.92,0.22,0.24,,0
metals-rich,3.99,1.56,1.06,1.65,1.6,380.4,420.5,420.5,420.5,4.2,13.34,0.091,0,0.09,K,0.48,0.47,3788,0.041154,-0.28,,-1.58,-0.15,-0.14,0.39,0,0
metals-rich,11.12,2.04,1.31,2.68,2.34,361.9,407.4,407.4,407.4,14.6,91.77,0.38,0,0.38,G,0.87,0.82,5588,0.588225,-0.291,,-1.51,-0.13,0.64,0.38,0,0
